INFO   | jvm 1    | 2020/11/19 12:11:11 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/11/19 12:11:11 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/11/19 12:11:11 | 
INFO   | jvm 1    | 2020/11/19 12:11:11 | 
INFO   | jvm 1    | 2020/11/19 12:11:11 | WrapperSimpleApp: Encountered an error running main: java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2020/11/19 12:11:11 | java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2020/11/19 12:11:11 | 	at io.mycat.MycatStartup.main(MycatStartup.java:53)
INFO   | jvm 1    | 2020/11/19 12:11:11 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2020/11/19 12:11:11 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
INFO   | jvm 1    | 2020/11/19 12:11:11 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 1    | 2020/11/19 12:11:11 | 	at java.lang.reflect.Method.invoke(Method.java:498)
INFO   | jvm 1    | 2020/11/19 12:11:11 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 1    | 2020/11/19 12:11:11 | 	at java.lang.Thread.run(Thread.java:748)
INFO   | jvm 1    | 2020/11/19 12:11:11 | Caused by: io.mycat.config.util.ConfigException: dataNode dn2 duplicated!
INFO   | jvm 1    | 2020/11/19 12:11:11 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.createDataNode(XMLSchemaLoader.java:655)
INFO   | jvm 1    | 2020/11/19 12:11:11 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.loadDataNodes(XMLSchemaLoader.java:623)
INFO   | jvm 1    | 2020/11/19 12:11:11 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.load(XMLSchemaLoader.java:115)
INFO   | jvm 1    | 2020/11/19 12:11:11 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.<init>(XMLSchemaLoader.java:78)
INFO   | jvm 1    | 2020/11/19 12:11:11 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.<init>(XMLSchemaLoader.java:82)
INFO   | jvm 1    | 2020/11/19 12:11:11 | 	at io.mycat.config.ConfigInitializer.<init>(ConfigInitializer.java:76)
INFO   | jvm 1    | 2020/11/19 12:11:11 | 	at io.mycat.config.MycatConfig.<init>(MycatConfig.java:72)
INFO   | jvm 1    | 2020/11/19 12:11:11 | 	at io.mycat.MycatServer.<init>(MycatServer.java:166)
INFO   | jvm 1    | 2020/11/19 12:11:11 | 	at io.mycat.MycatServer.<clinit>(MycatServer.java:109)
INFO   | jvm 1    | 2020/11/19 12:11:11 | 	... 7 more
STATUS | wrapper  | 2020/11/19 12:11:13 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/11/19 12:12:02 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/11/19 12:12:02 | Launching a JVM...
INFO   | jvm 1    | 2020/11/19 12:12:03 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2020/11/19 12:12:03 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/11/19 12:12:03 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/11/19 12:12:03 | 
INFO   | jvm 1    | 2020/11/19 12:12:04 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2020/11/19 12:13:55 | INT trapped.  Shutting down.
STATUS | wrapper  | 2020/11/19 12:13:56 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/11/19 12:13:58 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/11/19 12:13:58 | Launching a JVM...
INFO   | jvm 1    | 2020/11/19 12:13:58 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2020/11/19 12:13:58 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/11/19 12:13:58 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/11/19 12:13:58 | 
INFO   | jvm 1    | 2020/11/19 12:13:59 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2020/11/19 12:15:37 | INT trapped.  Shutting down.
STATUS | wrapper  | 2020/11/19 12:15:38 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/11/19 12:15:39 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/11/19 12:15:40 | Launching a JVM...
INFO   | jvm 1    | 2020/11/19 12:15:40 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2020/11/19 12:15:40 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/11/19 12:15:40 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/11/19 12:15:40 | 
INFO   | jvm 1    | 2020/11/19 12:15:40 | 
INFO   | jvm 1    | 2020/11/19 12:15:40 | WrapperSimpleApp: Encountered an error running main: java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2020/11/19 12:15:40 | java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2020/11/19 12:15:40 | 	at io.mycat.MycatStartup.main(MycatStartup.java:53)
INFO   | jvm 1    | 2020/11/19 12:15:40 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2020/11/19 12:15:40 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
INFO   | jvm 1    | 2020/11/19 12:15:40 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 1    | 2020/11/19 12:15:40 | 	at java.lang.reflect.Method.invoke(Method.java:498)
INFO   | jvm 1    | 2020/11/19 12:15:40 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 1    | 2020/11/19 12:15:40 | 	at java.lang.Thread.run(Thread.java:748)
INFO   | jvm 1    | 2020/11/19 12:15:40 | Caused by: io.mycat.config.util.ConfigException: dataNode 'dn1,dn2,dn3' is not found!
INFO   | jvm 1    | 2020/11/19 12:15:40 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.checkDataNodeExists(XMLSchemaLoader.java:538)
INFO   | jvm 1    | 2020/11/19 12:15:40 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.loadSchemas(XMLSchemaLoader.java:161)
INFO   | jvm 1    | 2020/11/19 12:15:40 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.load(XMLSchemaLoader.java:117)
INFO   | jvm 1    | 2020/11/19 12:15:40 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.<init>(XMLSchemaLoader.java:78)
INFO   | jvm 1    | 2020/11/19 12:15:40 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.<init>(XMLSchemaLoader.java:82)
